Aircraft,Registration,Base,FlightNo,Day,From,To,DepTime,ArrTime,BlockHrs,Notes
A321-1,BL-ABA,SCI,AB301,Fri,SCI,SBT,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Fri,SBT,SCI,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Fri,SCI,SBT,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Fri,SBT,SCI,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Fri,SCI,SBT,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Fri,SBT,SCI,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Sat,SCI,SBT,06:00,06:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Sat,SBT,SCI,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Sat,SCI,SBT,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Sat,SBT,SCI,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Sat,SCI,SBT,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Sat,SBT,SCI,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Sat,SCI,SBT,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Sat,SBT,SCI,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Sat,SCI,SBT,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Sat,SBT,SCI,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Sun,SCI,SBT,06:00,06:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Sun,SBT,SCI,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Sun,SCI,SBT,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Sun,SBT,SCI,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Sun,SCI,SBT,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Sun,SBT,SCI,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Sun,SCI,SBT,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Sun,SBT,SCI,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Sun,SCI,SBT,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Sun,SBT,SCI,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Mon,SCI,SBT,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Mon,SBT,SCI,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Mon,SCI,SBT,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Mon,SBT,SCI,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Mon,SCI,SBT,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Mon,SBT,SCI,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Mon,SCI,SBT,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Mon,SBT,SCI,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Mon,SCI,SBT,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Mon,SBT,SCI,16:00,16:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Tue,SCI,SBT,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Tue,SBT,SCI,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Tue,SCI,SBT,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Tue,SBT,SCI,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Tue,SCI,SBT,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Tue,SBT,SCI,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Tue,SCI,SBT,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Tue,SBT,SCI,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Tue,SCI,SBT,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Tue,SBT,SCI,16:00,16:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Wed,SCI,SBT,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Wed,SBT,SCI,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Wed,SCI,SBT,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Wed,SBT,SCI,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Wed,SCI,SBT,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Wed,SBT,SCI,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Wed,SCI,SBT,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Wed,SBT,SCI,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Wed,SCI,SBT,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Wed,SBT,SCI,16:00,16:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Thu,SCI,SBT,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Thu,SBT,SCI,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Thu,SCI,SBT,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Thu,SBT,SCI,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Thu,SCI,SBT,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Thu,SBT,SCI,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Thu,SCI,SBT,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Thu,SBT,SCI,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Thu,SCI,SBT,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Thu,SBT,SCI,16:00,16:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Fri,SCI,SBT,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Fri,SBT,SCI,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Fri,SCI,SBT,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Fri,SBT,SCI,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Fri,SCI,SBT,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Fri,SBT,SCI,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Fri,SCI,SBT,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Fri,SBT,SCI,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Fri,SCI,SBT,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Fri,SBT,SCI,16:00,16:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Sat,SCI,SBT,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Sat,SBT,SCI,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Sat,SCI,SBT,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Sat,SBT,SCI,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Sat,SCI,SBT,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Sat,SBT,SCI,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Sat,SCI,SBT,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Sat,SBT,SCI,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Sat,SCI,SBT,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Sat,SBT,SCI,16:00,16:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Sun,SCI,SBT,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Sun,SBT,SCI,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Sun,SCI,SBT,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Sun,SBT,SCI,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Sun,SCI,SBT,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Sun,SBT,SCI,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Sun,SCI,SBT,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Sun,SBT,SCI,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB303,Sun,SCI,SBT,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-2,BL-ABB,SCI,AB304,Sun,SBT,SCI,16:00,16:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-3,BL-ABC,SCI,AB305,Mon,SCI,BDC,07:00,07:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Mon,BDC,SCI,08:00,08:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Mon,SCI,BDC,09:00,09:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Mon,BDC,SCI,10:00,10:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Mon,SCI,BDC,11:00,11:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Mon,BDC,SCI,12:00,12:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Mon,SCI,BDC,13:00,13:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Mon,BDC,SCI,14:00,14:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Tue,SCI,BDC,07:00,07:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Tue,BDC,SCI,08:00,08:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Tue,SCI,BDC,09:00,09:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Tue,BDC,SCI,10:00,10:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Tue,SCI,BDC,11:00,11:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Tue,BDC,SCI,12:00,12:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Tue,SCI,BDC,13:00,13:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Tue,BDC,SCI,14:00,14:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Wed,SCI,BDC,07:00,07:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Wed,BDC,SCI,08:00,08:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Wed,SCI,BDC,09:00,09:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Wed,BDC,SCI,10:00,10:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Wed,SCI,BDC,11:00,11:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Wed,BDC,SCI,12:00,12:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Wed,SCI,BDC,13:00,13:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Wed,BDC,SCI,14:00,14:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Thu,SCI,BDC,07:00,07:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Thu,BDC,SCI,08:00,08:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Thu,SCI,BDC,09:00,09:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Thu,BDC,SCI,10:00,10:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Thu,SCI,BDC,11:00,11:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Thu,BDC,SCI,12:00,12:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Thu,SCI,BDC,13:00,13:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Thu,BDC,SCI,14:00,14:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Fri,SCI,BDC,07:00,07:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Fri,BDC,SCI,08:00,08:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Fri,SCI,BDC,09:00,09:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Fri,BDC,SCI,10:00,10:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Fri,SCI,BDC,11:00,11:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Fri,BDC,SCI,12:00,12:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Fri,SCI,BDC,13:00,13:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Fri,BDC,SCI,14:00,14:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Sat,SCI,BDC,07:00,07:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Sat,BDC,SCI,08:00,08:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Sat,SCI,BDC,09:00,09:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Sat,BDC,SCI,10:00,10:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Sat,SCI,BDC,11:00,11:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Sat,BDC,SCI,12:00,12:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Sat,SCI,BDC,13:00,13:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Sat,BDC,SCI,14:00,14:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Sun,SCI,BDC,07:00,07:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Sun,BDC,SCI,08:00,08:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Sun,SCI,BDC,09:00,09:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Sun,BDC,SCI,10:00,10:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Sun,SCI,BDC,11:00,11:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Sun,BDC,SCI,12:00,12:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB305,Sun,SCI,BDC,13:00,13:45,0.75,J/W/Y — SCI-BDC daily
A321-3,BL-ABC,SCI,AB306,Sun,BDC,SCI,14:00,14:45,0.75,J/W/Y — SCI-BDC daily
A321-4,BL-ABD,SCI,AB307,Mon,SCI,TMS,06:00,06:45,0.75,"J/W/Y — SCI-Tamsui (Sanu-Sasso day, 1x)"
A321-4,BL-ABD,SCI,AB308,Mon,TMS,SCI,07:30,08:15,0.75,"J/W/Y — SCI-Tamsui (Sanu-Sasso day, 1x)"
A321-4,BL-ABD,SCI,AB309,Mon,SCI,SNS,09:00,13:30,4.5,J/W/Y — SCI-Sanu-Sasso 4x weekly
A321-4,BL-ABD,SCI,AB310,Mon,SNS,SCI,15:00,19:30,4.5,J/W/Y — SCI-Sanu-Sasso 4x weekly
A321-4,BL-ABD,SCI,AB307,Wed,SCI,TMS,06:00,06:45,0.75,"J/W/Y — SCI-Tamsui (Sanu-Sasso day, 1x)"
A321-4,BL-ABD,SCI,AB308,Wed,TMS,SCI,07:30,08:15,0.75,"J/W/Y — SCI-Tamsui (Sanu-Sasso day, 1x)"
A321-4,BL-ABD,SCI,AB309,Wed,SCI,SNS,09:00,13:30,4.5,J/W/Y — SCI-Sanu-Sasso 4x weekly
A321-4,BL-ABD,SCI,AB310,Wed,SNS,SCI,15:00,19:30,4.5,J/W/Y — SCI-Sanu-Sasso 4x weekly
A321-4,BL-ABD,SCI,AB307,Fri,SCI,TMS,06:00,06:45,0.75,"J/W/Y — SCI-Tamsui (Sanu-Sasso day, 1x)"
